tiyoyę̲hsrá:deˀ	‘it is an odd-ball blanket’	[ti-yo-yę̲hsr-á:-deˀ]	contrastive-it.o-blanket-joinerA-exist.stative
tigaˀdre̲hdá:deˀ	‘it is a different car from the others’	[ti-ga-ˀdrehd-á:-deˀ]	contrastive-it.a-car-joinerA-
tiganǫ̲hsá:deˀ	‘it is a different house from the others’	[ti-ga-nǫ̲hs-á:-deˀ]	contrastive-it.a-house-joinerA-exist.stative
ní:yǫ:	'an amount of things'	[ní:-y-ǫ:]	partitive-it.o-be.a.certain.amount.stative
[ni…+oˀdę:]	'a type of'; as in nigaęnóˀdę: 'a type of song'	[ni-ga-ęn-óˀdę:]	partitive-it.a-song-be.a.type.of.stative
niyó:weˀ	'how far in distance'	[ni-yó:-weˀ]	partitive-it.o-be.a.certain.distance.stative
niwuˀdrugyé:ˀah	'it is narrow'	[ni-w-uˀdrígyé:ˀah]	partitive-it.a-narrow.stative
niyo:há:kˀah	'it is short in height'	[ni-yo:-há:-kˀah]	partitive-it.o-measuring.line-short.stative
niyǫ́:hah	'a few, a little bit'	[ni-y-ǫ́:-hah]	partitive-it.o-be.a.certain.amount.stative-diminutive
niyǫ́:sˀah	'just a little bit long'	[ni-y-ǫ́:s-ˀah]	partitive-it.o-long.stative-diminutive
niwagri̲hú:ˀuh	'I amsensitive'	[ni-wag-ri̲h-ú:ˀuh]	partitive-I.o-matter-small.stative
nitgá:deˀ	'how high it is (inanimate object)'; 'the height of something'	[ni-t-gá:-deˀ]	partitive-cislocative-it.a-exist.stative
nigáha:ˀ	'how much it holds'	[ni-gá-ha:-ˀ]	partitive-it.a-hold-stative
niyohnodá:kˀah	'it is shallow'	[ni-yo-hnod-á:-kˀah]	partitive-it.o-water-joinerA-short.stative
niwú:ˀuh	'it is small, little'	[ni-w-ú:ˀuh]	partitive-it.a-small.stative
nita:wé:nǫ:	'a stranger'	[ni-t-ha:w-é:nǫ-:]	partitive-cislocative-he.o-originate.from-stative
nidihsé:no:?	'How old are you?'	[do:] how [ni-di-hs-é:no-:]	partitive-cislocative-you(one).o-originate.from-stative
nǫdá:ge:	'where I came from'	[nǫdá:-g-e-:]	partitive-factual-cislocative-I.a-go-aspect
ni̲hosriyáˀgǫˀ	'his age'	[ni̲-h-ohsr-iyáˀg-ǫˀ]	partitive-he.a-winter-cross.stative-plural
nǫgesyáoˀdę:	'I am... clan'	[n-ǫge-sya-oˀdę:]	partitive-factual.I.o-clan-be.a.certain.kind.stative
niwage̲hsyáoˀdę:	'I am... clan'	[ni-wage-hsya-oˀdę:]	partitive-I.o-clan-be.a.certain.kind.stative
niyó:tgiˀ	'how dirty or filthy it is'	[ni-yó:-tgiˀ]	partitive-it.o-ugly.stative
otgiˀ	'it is dirty or filthy'	[o-tgiˀ]	it.o-ugly.stative
niyéha:ˀ	'how much she holds'	[ni-yé-ha:-ˀ]	partitive-she.a-hold-habitual
eha:ˀ	'she is holding something'	[e-ha:-ˀ]	she.a-hold-habitual
nigá:nǫ:ˀ	'how much it costs'	[ni-gá:-nǫ:ˀ]	partitive-it.a-expensive.stative
ganǫ:ˀ	'it is expensive'	[ga-nǫ:ˀ]	it.a-expensive.stative
na̲ˀónisheˀ	‘it took an amount of time’	[n-a̲ˀ-ó-nishe-ˀ]	partitive-factual-it.o-take.time-punctual
nęyónisheˀ	‘it will take an amount of time’	[n-ę-yó-nishe-ˀ]	partitive-future-it.o-take.time-punctual
na̲ˀá:węh	'it happened (a fact)'	[n-a̲ˀ-á:w-ęh-ø]	partitive-factual-it.o-happen-ø.punctual
nęyá:węh	'it will happen'	[n-ę-yá:w-ęh-ø]	partitive-future-it.o-happen-ø.punctual
na:yá:węh	'it might, could, or would happen'	[n-a:-yá:w-ęh-ø]	partitive-indefinite-it.o-happen-ø.punctual
nigyé:haˀ	'I do it all the time'	[ni-g-yé:-haˀ]	partitive-I.a-do-habitual
nę́:gye:ˀ	'I will do it'	[n-ę́:-g-ye:-ˀ]	partitive-future-I.a-do-punctual
niyó:yę:	'what it is doing'	[ni-yó:-yę:]	partitive-it.o-do.stative
honahsgwagáˀdeˀ	‘he has many pets’	[ho-nahsgw-a-gáˀdeˀ]	he.o-domestic.animal-joinerA-be.many.stative
niyowęyohgá:ge:	'it is so many inches'	[ni-yo-węyohg-á:ge:]	partitive-it.o-thumb-certain.number.of.stative
nigagǫ̲ˀtrá:ge:	'that many pounds'	[ni-ga-gǫ̲ˀtr-á:ge:]	partitive-it.a-pound-certain.number.of.stative
nigahǫhsrá:ge:	'amount of boxes'	[ni-ga-hǫhsr-á:ge:]	partitive-it.a-box-certain.number.of.stative
nigana̲ˀjá:ge:	'amount of pails'	[ni-ga-na̲ˀj-á:ge:]	partitive-it.a-pail-certain.number.of.stative
nigayá:ge:	'amount of bags'	[ni-ga-yá:-ge:]	partitive-it.a-bag-certain.number.of.stative
niwęˀnhotrá:ge:	'amount of balls'	[ni-w-ęˀnhotr-á:ge:]	partitive-it.a-ball-certain.number.of.stative
nigawęná:ge:	'as many words'	[ni-ga-węn-á:ge:]	partitive-it.a-word-certain.number.of.stative
niyǫgwe̲ˀdá:ge:	'that many people'	[ni-y-ǫgwe̲ˀd-á:ge:]	partitive-it.o-person-certain.number.of.stative
niganǫ̲hsá:ge:	‘three houses’	[ni-ga-nǫ̲hs-á:ge:]	partitive-it.a-house-be.a.certain.number.stative
niwahda̲hgwá:ge:	‘three shoes’	[ni-w-ahda̲hgw-á:ge:]	partitive-it.a-shoe-be.a.certain.number.stative
niyohsi̲ˀdá:ge:	‘three feet’	[ni-yo-hsi̲ˀd-á:ge:]	partitive-it.o-foot-be.a.certain.number.stative
nigahǫnáˀdage:	‘three potatoes’	[ni-yo-hǫnáˀd-á:ge:] partitive-it.o-potato-be.a.certain.number.stative [ni-ga-hǫnáˀd-á:ge:]	partitive-it.a-potato-be.a.certain.number.stative
shoyę́:twęh	'he planted it again'	[s-ho-yę́:tw-ęh]	repetitive-he.o-plant-stative
hoyę́:twęh	'he planted it'	[ho-yę́:tw-ęh]	he.o-plant-stative
sawada̲hǫ́:dǫ:ˀ	'it asked again'	[sa-w-ad-a̲hǫ́:dǫ:-ˀ]	repetitive-factual-it.a-semireflexive-ask-punctual
awada̲hǫ́:dǫ:ˀ	'it asked'	[a-w-ad-a̲hǫ́:dǫ:-ˀ]	factual-it.a-semireflexive-ask-punctual
jago:kǫ́:ni:	'she is cooking again'	[j-ago:-k-ǫ́:ni-:]	repetitive-she.o-food-make-stative
odrę́:no:t	'it is singing'	[o-d-rę́:n-o:t]	it.o-semireflexive-song-stand.stative
jotó:weˀ	'it is cold again'	[j-o-t-hó:weˀ]	repetitive-it.o-semireflexive-cold.stative
otó:weˀ	'it is cold'	[o-t-hó:weˀ]	it.o-semireflexive-cold.stative
jidwáhshe:t	'let's count again'	[ji-dwá-hshe:t]	repetitive-we.all-count-ø.aspect
dwa̲hshe:t	'let's count'	[dwa̲-hshe:t]	we.all-count-ø.aspect
aˀé:yǫˀ	'she arrived'	[a-ˀé:-yǫ-ˀ]	factual-she.a-arrive-punctual
ahahdę́:diˀ	'he left'; 'he went away'	[a-ha-hdę́:di-ˀ]	factual-he.a-leave-punctual
hę́:geˀ	'I will go there'	[h-ę́:-g-e-ˀ]	translocative-future-I.a-go-punctual
í:geˀs	'I am here'	[í:-g-e-ˀs]	prothetic-I.a-go-habitual
shahá:wiˀ	'he brought it with him'	[s-ha-há:wi-ˀ]	repetitive-he.a-carry-punctual
hadihá:wiˀs	‘they (m) carry it along’	[hadi-há:wi-ˀs]	they(males).a-carry-habitual
Sganyádaes	'Long Lake'; 'Skaneateles, N.Y.'	[s-ga-nyáda:-es]	repetitive-it.a-lake-long.stative
sa̲hęnada:tré:waht	'they (males) repented'	[sa̲-hęn-ada:t-hré:waht-ø]	repetitive-they(males).a-reflexive-punish-ø.punctual
ęhsgáeyǫˀt	'they (females or mixed group) will bring it back'	[ę-hs-gáe-yǫˀt-ø]	future-repetitive-they(fe/males).a-cause.to.arrive-ø.punctual
sgadę́hda:ˀ	'to resurface something'	[s-ga-dę́hda:ˀ]	repetitive-it.a-lie.spread.out.on.the.ground.stative
ęjisatgánya̲ˀgęˀ	'you will be reimbursed, refunded'	[ę-ji-s-at-gánya̲ˀg-ę-ˀ]	future-repetitive-you(one).a-semireflexive-pay-benefactive-punctual
shonǫ́ˀne:t	'he is behind him, he is next in line'	[s-ho-nǫ́ˀ-ne:t]	repetitive-he.o-head-keep.in.line.stative
ęjijadrihwa̲hsrǫ́:niˀ	'you two will reconcile'	[ę-ji-j-ad-rihw-a̲-hsrǫ́:ni-ˀ]	future-repetitive-you(two).a-semireflexive-matter-joinerA-fix-punctual
sawę́hsga:ˀ	'it spun out, took off with a rattling sound'	[sa-w-ę́hs-ga:-ˀ]	repetitive-it.a-foot-make.a.rattling.noise-punctual
swa̲háhadih	‘the other side of the road’	[j-o̲-háh-adih] repetitive-it.o-road-side.stative, [s-wa̲-háh-adih]	repetitive-it.a-road-side.stative
sganǫ́hsa:t	‘one house’	[s-ga-nǫ́hs-a:-t]	repetitive-it.a-house-joinerA-stand.stative
ganǫ́hsaˀ	‘house’	[ga-nǫ́hs-aˀ]	it.a-house-nsf
swahdáhgwa:t	‘one shoe’	[s-w-ahdáhgw-a:-t]	repetitive-it.a-shoe-joinerA-stand.stative
ahdáhgwaˀ	‘shoes’	[ahdáhgw-aˀ]	shoe-nsf
joyę́hsra:t	‘one blanket’	[s-ga-yę́hsr-a:-t], [j-o-yę́hsr-a:-t]	repetitive-it.o-blanket-joinerA-stand.stative
oyę́hsraˀ	‘blankets’	[o-yę́hsr-aˀ]	it.o-blanket-nsf
jo̲hǫ́na̲ˀda:t	‘one potato’	[s-ga̲-hǫ́na̲ˀd-a:-t], [j-o̲-hǫ́na̲ˀd-a:-t]	repetitive-it.a-potato-joinerA-stand.stative
ohǫ́na̲ˀdaˀ	‘potatoes’	[o-hǫ́na̲ˀd-aˀ]	it.o-potato-nsf
sgatsǫˀ	‘one at a time’; ‘one each’	[s-ga-t-shǫˀ]	repetitive-it.a-stand.stative-pluralizer
sga:t	‘one thing’	[s-ga:-t]	repetitive-it.a-stand.stative
ęsáhshe:t	'count by ones, one by one'	[s-ga-t-shǫˀ] repetitive-it.a-stand.stative-pluralizer [ę-s-áhshe:t-ø]	future-you(one).a-count-ø.punctual
da̲ha:dí:yoˀ	'they came in one by one'	[s-ga-t-shǫˀ] repetitive-it.a-stand.stative-pluralizer [shęh] that [d-a̲-ha:dí:-yo-ˀ]	cislocative-factual-they(males)-arrive-punctual
jo̲hsˀdatsǫ́ˀ	‘a one foot distance’	[j-o̲-hsíˀd-a-t-shǫˀ]	repetitive-it.o-foot-joinerA-stand.stative-pluralizer
jo̲hsíˀda:t	‘one foot’	[j-o̲-hsíˀd-a:-t]	repetitive-it.o-foot-joinerA-stand.stative
todinę̲hę́:dreˀ	'people are standing in a straight line one foot apart'	[j-o̲-hsiˀd-a-t-shǫ́ˀ] repetitive-it.o-foot-joinerA-stand.stative-pluralizer [naˀde-gaǫ-dréˀ] partitive.dualic-they(females or mixed)-apart.stative [t-hodi-nę̲hę́:dreˀ]	cislocative-they(males)-stand.in.line.stative
ganáˀjo̲hkwaˀ	'the bottles are standing one foot apart'	[j-o̲-hsiˀd-a-t-shǫ́ˀ] repetitive-it.o-foot-joinerA-stand.stative-pluralizer [naˀde-gęn-a:dréˀ] partitive.dualic-they(things)-apart.stative [ga-náˀj-o̲-hkwaˀ]	it.a-pail-submerged.stative-instrumental
sga̲ˀdréhdatsǫˀ	‘each car’; ‘one car at a time’	[s-ga̲-ˀdréhd-a-t-shǫˀ]	repetitive-it.a-car-joinerA-stand.stative-pluralizer
sga̲ˀdréhda:t	‘one car’	[s-ga̲-ˀdréhd-a:-t]	repetitive-it.a-car-joinerA-stand.stative
dahsá:dih	'throw it towards me'	[da-hs-á:di-h]	cislocative-you(one).o-throw-ø.aspect
heˀsá:dih	'throw it away from me'	[heˀ-s-á:di-h]	translocative-you(one).o-throw-ø.aspect
tgayę́twa̲hsǫˀ	'it is planted over there'	[t-ga-yę́tw-a̲-hs-ǫˀ]	cislocative-it.a-plant-joinerA-habitual-plural
hegayętwáhsǫˀ	'it is planted over there'	[he-ga-yętw-á-hs-ǫˀ]	translocative-it.a-plant-joinerA-habitual-plural
gayę́twa̲hsǫˀ	'it is planted (here)'	[ga-yę́tw-a̲-hs-ǫˀ]	it.a-plant-joinerA-habitual-plural
dahsá:dih	'throw it to me'	[dah-s-á:di-h]	cislocative-you(one).o-throw-ø.aspect
heˀsá:dih	'throw it away from me'	[heˀ-s-á:di-h]	translocative-you(one).o-throw-ø.aspect
haˀsa:dó:wih	'drive it over there'	[haˀ-s-a:d-ó:wi-h]	translocative-you(one).a-semireflexive-drive-ø.aspect
dasádawę:	'swim this way'	[da-s-ád-awę:-ø]	cislocative-you(one).a-semireflexive-swim-ø.aspect
haˀsádawę:	'swim over there'	[haˀ-s-ád-awę:-ø]	translocative-you(one).a-semireflexive-swim-ø.aspect
desáˀdre:	'drive over here'	[de-sá-ˀdre:-ø]	cislocative-you(one).o-drive-ø.aspect
heˀsáˀdre:	'drive over there'	[heˀ-sá-ˀdre:-ø]	translocative-you(one).o-drive-ø.aspect
tga̲he:ˀ	'it is setting there'	[t-ga̲-he:ˀ]	cislocative-it.a-sitting.on.top.of.stative
heˀgáhe:ˀ	'it is sitting way over there'	[heˀ-gá-he:ˀ]	translocative-it.a-sitting.on.top.of.stative
ga̲he:ˀ	'it is sitting (here)'	[ga̲-he:ˀ]	it.a-sitting.on.top.of.stative
gá:yęˀ	'it is lying'	[gá:-yęˀ]	it.a-lie.stative
tgá:yęˀ	'it is lying there'	[t-gá:-yęˀ]	cislocative-it.a-lie.stative
hegá:yęˀ	'it is lying over there'	[he-gá:-yęˀ]	translocative-it.a-lie.stative
ganí:yǫ:t	'it is hanging'	[ga-ní:yǫ:t]	it.a-hang.stative
tga:ní:yǫ:t	'it is hanging there'	[t-ga:-ní:yǫ:t]	cislocative-it.a-hang.stative
hega:ní:yǫ:t	'it is hanging way over there'	[he-ga:-ní:yǫ:t]	translocative-it.a-hang.stative
gá:deˀ	'it is sticking out'	[gá:-deˀ]	it.a-stick.out.stative
tgá:deˀ	'it is sticking out'	[t-gá:-deˀ]	cislocative-it.a-stick.out.stative
hegá:deˀ	'it is sticking out over there'	[he-gá:-deˀ]	translocative-it.a-stick.out.stative
eˀdrǫˀ	'she is home'	[e-ˀdrǫˀ]	she.a-dwell.stative
gye̲ˀdrǫˀ	'she is at home'	[g-ye̲-ˀdrǫˀ]	cislocative-she.a-dwell.stative
heyéˀdrǫˀ	'she is at home, way over there'	[he-yé-ˀdrǫˀ]	translocative-she.a-dwell.stative
tgayí:	'it is right, correct'	[t-ga-yéi:], [t-ga-yí:]	cislocative-it.a-right.stative
dwagado̲ˀkdá:nih	'I am dissatisfied'	[d-wag-ad-o̲ˀkd-á:ni-h]	cislocative-I.o-semireflexive-finish-benefactive-habitual
itseˀs	'you wander (all the time); you are over there'	[ę:] ‘again’ [tsǫ:] ‘just’ [i-t-s-e-ˀs]	prothetic-cislocative-you(one).a-go-habitual
tgá:gwitgęˀs	'east (direction); the sun rises there'	[t-gá-ragw-itgę-ˀs]	cislocative-it.a-sun-rise-habitual
ętsáˀsęht	'you will bring it down'	[ę-t-s-áˀsęht-ø]	future-cislocative-you(one).a-bring.down-ø.punctual
gyodóˀkda̲ˀǫh	'it is lacking'	[g-yo-d-óˀkda̲ˀ-ǫh]	cislocative-it.o-semireflexive-cause.to.run.out-stative
gyagoya̲ˀdá:gwęh	'she has lost weight'	[g-yago-ya̲ˀd-á:-gw-ęh]	cislocative-she.o-body-joinerA-gather-stative
gyogyę́hdǫh	'the first one, the beginning'	[g-yo-g-yę́hd-ǫh]	cislocative-it.o-semireflexive-hit-stative
dawá:tgri:k	'it pulled back, flinched, shrank'	[d-a-wá:-t-gri-ø-:k]	cislocative-factual-it.a-semireflexive-fold-ø.punctual-modalizer
dawáˀsęˀ	'it dropped, reduced'	[d-a-w-áˀsę-ˀ]	cislocative-factual-it.a-reduce-punctual
tgehdáhkwaˀ	'I believe'	[t-g-ehdáhkw-haˀ]	cislocative-I.a-believe-habitual
ętsadadáhshagwęˀ	'you will remind yourself, make yourself remember'	[ę-t-s-adad-áhshagw-ę-ˀ]	future-cislocative-you(one).a-reflexive-remember-benefactive-punctual
dawáda̲ˀsęht	'it swooped down'	[d-a-w-ád-a̲ˀsęht-ø]	cislocative-factual-it.a-semireflexive-cause.to.drop-ø.punctual
dǫgádo̲ˀktahs	'I was not satisfied (with…)'; 'I did not get enough'	[d-ǫg-ád-o̲ˀkd-a-hsd-ø]	cislocative-factual.I.a-semireflexive-lack-joinerA-cause-habitual
dawatehtgęht	'it went bad'	[d-a-w-at-hehtgęht-ø]	cislocative-factual-it.a-semireflexive-cause.to.go.bad-ø.punctual
ętsa:tró:wiˀ	'you will recount, retell'	[ę-t-s-a:t-hró:wi-ˀ]	future-cislocative-you(one).a-semireflexive-tell-punctual
ętsatsadǫ́:goˀ	'you will unearth it'	[ę-t-s-at-hsadǫ́:-go-ˀ]	future-cislocative-you(one).a-bury-reversive-punctual
ętsa:dó:gęhs	'you will adjust'	[ę-t-s-a:dó:gęhsd-ø]	future-cislocative-you(one).a-make.right-ø.punctual
da:gonhę́hęhih	'she dribbled, peed'	[d-a-ago-nhę́hęhih-ø]	cislocative-factual-she.o-dribble-ø.punctual
dagayagę́hdahk	'it came out suddenly'	[da-ga-yagę́hd-a-ø-hk]	cislocative-it.a-issue.from-joinerA-ø.punctual-former
daję́:na:	'grab it!'	[da-j-ę́:na:-ø]	cislocative-you(one).a-grab-ø.aspect
hę́:goh	'I will dip it in, submerge it'	[h-ę́:-g-oh-ø]	translocative-future-I.a-dip.in.liquid-ø.punctual
hegáhgwęˀs	'to the setting sun, the direction of the sunset, west'	[he-gá-hgwę-ˀs]	translocative-it.a-set-habitual
hęhsye:ˀ	'you will touch'	[h-ę-hs-ye:-ˀ]	translocative-future-you(one).a-touch-punctual
hęhsyáhnǫ:ˀ	'you will grope, touch, pick at'	[h-ę-hs-yá-hnǫ:-ˀ]	translocative-future-you(one).a-touch-distributive-punctual
hęgǫ́:nęht	'I will swallow'	[h-ę-g-ǫ́:nęht-ø]	translocative-future-I.a-swallow-punctual
heyótsˀahdǫh	'it is all gone'	[he-yó-tsˀahd-ǫh]	translocative-it.o-dwindle-stative
hęhsó:goht	'you will exaggerate, go above and beyond'	[h-ę-hs-ó:goht-ø]	translocative-future-you(one).a-surpass-ø.punctual
hęwáˀsęˀ	'it will fall in'	[h-ę-w-áˀsę-ˀ]	translocative-future-it.a-fall.in-punctual
hęgǫyadę́:nyeht	'I will refer you (to someone else)'	[h-ę-gǫy-adę́:-nyeht-ø]	translocative-future-i:you-send-punctual
hé:yoht	'suddenly'	[to:] that [hé:-yo-ht]	translocative-it.o-resemble.stative
hęhsadagwáihsaht	'you will go straight’	[h-ę-hs-ad-agwáihsaht-ø]	translocative-future-you(one).a-semireflexive-straighten-ø.punctual
heyó:gęˀt	'it is transparent'	[he-yó:-gęˀt]	translocative-it.o-transparent.stative
haˀhoˀnigǫ́haˀehs	'his mind settled on'	[h-aˀ-ho-ˀnigǫ́h-a-ˀehsd-ø]	translocative-factual-he.o-mind-joinerA-cause.to.hit-ø.punctual
hęsagya̲ˀdǫ́:diˀ	'you will pounce on it'	[h-ę-s-ag-ya̲ˀd-ǫ́:di-ˀ]	translocative-future-you(one).o-semireflexive-body-throw-punctual
hęhaihwę́hę:ˀ	'he will take the message'	[h-ę-ha-ihw-ę́hę:-ˀ]	translocative-future-he.a-matter-convey-punctual
hękre:k	'I will push it'	[h-ę-k-hre:k-ø]	translocative-future-i-push-ø.punctual
hęgóˀkdęˀ	'I will finish something'	[h-ę-g-óˀkd-ęˀ]	translocative-future-I.a-finish-punctual
tagihnǫ:s	'he is calling me’	[t-hag-ihnǫ:k-s]	cislocative-he:me-call-habitual
hęgihnǫ:k	'I will call'	[h-ę-g-ihnǫ:k-ø]	translocative-I.a-call-ø.punctual
tgya̲hsǫ́haˀ	'I call them'; 'I am a bingo caller'	[t-g-ya̲hsǫ́-haˀ]	cislocative-I.a-name-habitual
hęhshéyahsǫ:ˀ	'you will call someone's name (over there)'	[h-ę-hshé-yahsǫ:-ˀ]	translocative-future-you:them-name-punctual
ętsyáˀdęˀ	'Wait, you'll fall into it'	[waˀjih] wait [ę-t-s-yáˀd-ę-ˀ]	future-cislocative-you(one).a-body-fall-punctual
hewagya̲ˀdę́ˀǫh	'I have fallen into it'	[he-wag-ya̲ˀd-ę́-ˀǫh]	translocative-I.o-body-fall-stative
tgegówanęh.	‘I amthe oldest (biggest)’	[í:ˀ] I [t-g-e-gówan-ęh]	cislocative-I.a-joinerE-big-stative
gegówanęh	‘I ambig’	[g-e-gówan-ęh]	I.a-joinerE-big-stative
tganǫ́hso:t	‘at the house’	[shęh] that [t-ga-nǫ́hs-o:t]	cislocative-it.a-house-stand.stative
haˀdewę̲hníhsrage:	‘every day’, ‘many days’	[haˀde-w-ę̲hníhsr-age:]	translocative.dualic-it.a-day-two.or.more.stative
haˀdewa̲hsǫ́dage:	‘every night’	[haˀde-w-a̲hsǫ́d-age:]	translocative.dualic-it.a-night-two.
haˀdega̲ˀdréhdage:	‘all kinds of cars’	[haˀde-ga̲-ˀdréhd-age:]	translocative.dualic-it.a-car-two.or.more.stative
dekdaˀs	'I amstanding'	[de-k-d-a-ˀs]	dualic-I.a-stand-join-habitual
dęhadagyáˀda̲hgwaˀt	'he will do push ups'	[d-ę-ha-dag-yáˀd-a̲-hgwaˀt-ø]	dualic-future-he.a-reflexive-body-joinerA-cause.to.raise-ø.punctual
degaǫnáˀsgwa̲hkwaˀ	'they (females or mixed) are jumping'	[de-gaǫ-náˀsgw-a̲-hgw-haˀ]	dual-they(fe/males).a.semireflexive-lift.up-habitual
de̲hęnáǫhaˀ	'they (males) are racers'	[de̲-hęn-áǫ-haˀ]	dualic-they(males).a-run-habitual
de̲hęnadátgǫ̲he:s	'boxers'; 'they (males only) are boxing'	[de̲-hęn-adát-gǫ̲he:g-s]	dualic-they(males).a-reflexive-punch-habitual
dewá:tgwęh	'it is dancing'	[de-w-á:t-gw-ęh]	dualicit.ait-semireflexive-dance-stative
da:há:dahs	'he should stop'	[d-a:-há:-dahsd–ø]	dualic-indefinite-he.a-stop-ø.aspect
dehsdaˀ	'stop!'	[de-hs-daˀ-ø]	dualic-you(one).a-stop-ø.aspect
dęgakeyáˀdahk	'I will pick them up'	[d-ę-gake-yáˀd-a-hgw-ø]	dualic-future-I:them-body-joinerA-pick.up-ø.punctual
dęwátahahk	'it will walk'	[d-ę-w-át-hah-a-hgw-ø]	dualic-future-it.a-semireflexive-road-joinerA-pick.up-ø.punctual
deyagodáwęnyeˀ	'she is walking about'	[de-yago-d-áwęnye-ˀ]	dualic.she.o-semireflexive-stir-stative
dęhahgwadáhnǫ:ˀ	'he will raise or lift things up’	[d-ę-ha-hgwad-á-hnǫ-:ˀ]	dualic-future-he.a-raise.up-joinerA-distributive-punctual
detodinę́hędreˀ	'they are standing (or guarding)'	[de-t-hodi-nę́hę-dr-e-ˀ]	dualic-cislocative-they(males).o-stand.in.a.line-dislocative-go-stative
degóno̲hsgwihs	'I am sweeping'	[de-g-ó-no̲hsgwi-hs]	dualic-I.a-semireflexive-sweep-habitual
deyoˀnhęhtsę́dǫ̲hǫh	'it is wagging its tail'	[de-yo-ˀnhęhts-ę́dǫ̲h-ǫh]	dual-it.o-tail-shake-stative
dewahji̲ˀdóha:s	'pliers'	[de-w-ahji̲ˀd-óha:g-s]	dual-it.a-hand-squeeze-habitual
degaǫdóhda:s	'janitors'	[de-gaǫ-d-óhda:g-s]	dual-they(fe/males).a-semireflexive-clean-habitual
de̲há:yaˀs	'he breaks it'	[de̲-há:-yaˀg-s]	dual-he.a-break-habitual
degaihó:węhs	'computer'	[de-ga-ih-ó:wę-hs]	dualic-it.a-words-split-habitual
degáhihtaˀ	'grinder or cutter'	[de-gá-hriht-haˀ]	dualic-it.a-chop.up-habitual
degawidrágędrǫhs	'cream separator'	[de-ga-widr-á-gędrǫ-hs]	dualic-it.a-ice-joinerA-skim.off-habitual
deyohahíya̲ˀgǫh	'crossroad'	[de-yo-hah-íya̲ˀg-ǫh]	dualic-it.o-road-cross-stative
deyótsaˀkdǫh	'it is bent'	[de-yó-tsaˀkd-ǫh]	dualic-it.o-bend-stative
degáhǫˀ	'it is lying across'	[de-gá-hǫˀ]	dualic-it.a-lie.across.stative
dęjidwadatnǫ̲hǫ́:nyǫ:ˀ	'we will greet each other again'	[d-ę-ji-dwa-dat-nǫ̲hǫ́:nyǫ-:ˀ]	dualic-future-we.all.inclusive.a-reflexive-greet-punctual
degaˀęnáęhęˀ	'I am a snowsnake player'	[de-g-aˀęn-á-ę-hęˀ]	dualic-I.a-pole-joinerA-hit-habitual
degáhshętwahs	'I am crying'	[de-g-áhshętw-a-hs]	dualic-I.a-cry-joinerA-habitual
deyóhsdateh	'it is smooth'	[de-yó-hsd-ateh]	dualic-it.o-shiny.object-clear.stative
dewátęho:t	'pile of wood'	[de-wá-t-hęh-o:t]	dualic-it.a-semireflexive-wood-stand.stative
dehsgwę́ˀnya:ˀ	'you who watch over us'	[de-hsgw-ę́-ˀny-a:ˀ]	dualic-you:us-semireflexive-hand-hold.stative
desaˀdráihęh	'hurry!'	[de-sa-ˀdráihęh-ø]	dualic-you(one).o-hurry-ø.aspect
dehsade-smack	'smack your lips!'	[de-hs-ad-e-smack-ø]	dualic-you(one).a-semireflexive-epen-smack-ø.punctual
atho:-stro:k	'he had a stroke'	[a-t-ho:-stro:k-ø]	factual-dualic-he.o-stroke-ø.punctual
deyagode-highlight-ǫh	'where she has it highlighted'	[de-yago-d-e-highlight-ǫh]	dualic-she.o-semireflexive-epen-highlight-stative
degadiyáhshesǫˀ	‘two things each, at a time’	[de-gadi-yáhshe-shǫˀ]	dualic-they(things)-two.living.things.stative-pluralizer
daga:dí:yoˀ	'they (things, i.e., cars) came in two at a time'	[de-gadi-yahshe-shǫˀ] dualic-they(things)-certain.number.stative-pluralizer [shęh] that [d-a-ga:dí:-yo-ˀ]	cislocative-factual-they(things)-arrive-punctual
degajihsdá:ge:	‘two lamps’	[de-ga-jihsd-á:ge:]	dualic-it.a-lamp-be.two.or.more.stative
deyohsi̲ˀdá:ge:	‘two feet’	[de-yo-hsi̲ˀd-áge:]	dualic-it.o-foot-be.two.or.more.stative
deyonǫ̲hsá:ge:	‘two eggs’	[de-yo-nǫ̲hs-á:ge:]	dualic-it.o-egg-be.two.or.more.stative
dewahda̲hgwá:ge:	‘two shoes’	[de-w-ahda̲hgw-á:ge:]	dualic-it.a-shoe-be.two.or.more.stative
degaˀdre̲hdage̲há:gyeˀ	‘two cars at at time’	[de-ga-ˀdre̲hd-age̲-h-á:-gy-e-ˀ]	dualic-it.a-car-two.or.more.stative-pronunciation.h-joiner.A-progressive-go-stative
deyó:gę:	‘it is between’, ‘in the middle’	[de-y-ó:gę:]	dualic-it.o-between.stative
dędwadathró:wiˀ	'we all will tell one another'	[d-ę-dw-adat-hró:wi-ˀ]	dualic-future-we.all.inclusive.a-reflexive-tell-punctual
ędwa:thró:wiˀ	'we all (incl.) will tell'	[ę-dwa:-t-hró:wi-ˀ]	future-we.all.inclusive.a-semireflexive-tell-punctual
ękehó:wiˀ	'I will tell someone'	[ę-ke-hó:wi-ˀ]	future-i:her-tell-punctual
ęsadwahátaˀt	'you will dry out the meat'	[ę-s-ad-ˀwah-á-taˀt]	future-you(one).a-semireflexive-meat-dry.out-ø.punctual
